age,gender,signs_of_mental_illness,threat_level,flee,body_camera,african_american
45,1,0,1,0,0,
33,1,0,0,1,1,TRUE
27,1,1,1,0,0,FALSE
22,1,0,1,0,0,FALSE
28,1,1,0,0,0,TRUE
31,1,0,0,0,0,TRUE
28,1,1,1,0,0,FALSE
53,1,0,1,0,0,TRUE
30,1,0,1,0,0,FALSE
39,1,0,1,0,0,TRUE
40,1,0,1,0,0,FALSE
30,1,0,1,0,0,FALSE
21,1,0,1,1,0,FALSE
35,1,0,0,0,0,FALSE
21,1,1,1,0,0,FALSE
47,1,1,1,0,0,FALSE
38,1,0,1,0,0,TRUE
36,1,0,1,1,0,TRUE
53,1,0,0,0,0,FALSE
34,1,0,1,0,0,FALSE
34,1,0,1,0,1,TRUE
30,1,0,0,0,0,TRUE
28,1,1,1,0,0,FALSE
47,1,0,1,0,0,FALSE
49,1,0,1,0,0,FALSE
,1,0,1,0,0,
36,1,0,1,0,0,FALSE
45,1,0,0,0,0,TRUE
21,0,0,1,0,0,TRUE
